,tier1_mean,tier1_std,tier2_mean,tier2_std,tier2_min,tier2_max,tier3_score
catboost_native,0.8077281157043406,0.010884509060279305,0.8023029461192209,0.01144214348636889,0.784695560809036,0.8227471148492125,0.7953464890827244
logistic_regression_v2,0.8071026562071,0.016883545508755652,0.71071473948407,0.1756439972230974,0.3342018412367553,0.8100915691017885,0.789186210079193
extra_trees,0.8046408935954972,0.010091190361333803,0.8133659162284326,0.02503245697086022,0.7759876793789837,0.8626849012710297,0.7907364383828073
histgradientboosting,0.8000976446214793,0.008152965797529136,0.7952165144698471,0.009092351014394059,0.7806385445711288,0.8135961259677369,0.7995709549415801
lightgbm_tuned,0.7976380677518685,0.009164622371663591,0.7925491723580221,0.011961531770863613,0.7699386224141851,0.808,0.7942745312660915
xgboost_tuned,0.7966874987982859,0.0055046996821550166,0.7948899592138272,0.008644223912797344,0.7767922248489624,0.8061630236794171,0.7931363354600167
